Highest Charting Position,Number of Times Charted,Song Name,Streams,Artist,Artist Followers,Popularity,Danceability,Energy,Loudness,Speechiness,Acousticness,Liveness,Tempo,Duration (ms),Valence
34,21,Beautiful Mistakes (feat. Megan Thee Stallion),"9,048,966",Maroon 5,32262679,88,0.713,0.676,-5.483,0.027,0.0377,0.154,99.048,227395,0.721
31,15,Run,"9,017,356",OneRepublic,12169108,88,0.682,0.72,-8.173,0.0381,0.326,0.148,117.003,169011,0.673
46,7,Thot Shit,"8,977,336",Megan Thee Stallion,4787261,88,0.95,0.693,-3.424,0.0898,0.0133,0.173,130.02,184635,0.891
26,26,Your Love (9PM),"8,935,418","ATB, Topic, A7S",291777,88,0.669,0.784,-5.603,0.112,0.194,0.115,125.993,150053,0.517
2,23,telepatía,"7,912,399",Kali Uchis,1999954,88,0.653,0.524,-9.016,0.0502,0.112,0.203,83.97,160191,0.553
7,24,Fiel,"7,717,211","Los Legendarios, Wisin, Jhay Cortez",31488,88,0.849,0.701,-4.407,0.06,0.407,0.112,98.005,261667,0.505
31,12,2/Catorce,"9,086,979","Rauw Alejandro, Mr. Naisgai",6080597,87,0.54,0.455,-5.988,0.224,0.675,0.12,83.876,212032,0.432
8,24,Heartbreak Anniversary,"8,832,945",Giveon,1398563,87,0.449,0.465,-8.964,0.0791,0.524,0.303,89.087,198371,0.543
33,7,Dinero,"8,564,775",Trinidad Cardona,116817,87,0.708,0.782,-4.687,0.0674,0.00772,0.107,119.997,160880,0.484
35,48,Sweater Weather,"8,564,017",The Neighbourhood,6662605,87,0.612,0.807,-2.81,0.0336,0.0495,0.101,124.053,240400,0.398
69,3,Sobrio,"8,514,480",Maluma,26769304,87,0.762,0.77,-2.758,0.223,0.138,0.15,177.998,201181,0.631
33,18,EL MAKINON,"8,102,107","KAROL G, Mariah Angeliq",17775316,87,0.635,0.706,-3.224,0.125,0.256,0.108,88.863,209160,0.443
74,8,Loco,"8,093,413","Justin Quiles, Chimbala, Zion & Lennox",2895789,87,0.77,0.899,-2.981,0.0494,0.222,0.0894,128.05,231604,0.851
75,4,Love Tonight - Edit,"8,006,336",Shouse,27116,87,0.727,0.681,-7.114,0.0265,0.00214,0.0861,123.028,241970,0.448
9,14,Botella Tras Botella,"7,735,223","Gera MX, Christian Nodal",2043294,87,0.727,0.546,-4.572,0.0437,0.656,0.122,106.891,197333,0.69
7,34,WITHOUT YOU,"7,642,130",The Kid LAROI,2230022,87,0.662,0.413,-7.357,0.0299,0.213,0.134,93.005,161385,0.467
6,21,Wants and Needs (feat. Lil Baby),"7,637,626",Drake,56308172,87,0.578,0.449,-6.349,0.286,0.0618,0.119,136.006,192956,0.1
32,28,Goosebumps - Remix,"7,452,633","Travis Scott, HVME",17719446,87,0.841,0.593,-7.846,0.0379,0.418,0.124,124.917,162803,0.808
11,55,Head & Heart (feat. MNEK),"7,434,252",Joel Corry,207547,87,0.734,0.874,-3.158,0.0662,0.168,0.0489,122.953,166028,0.905
42,20,BED,"7,383,369","Joel Corry, RAYE, David Guetta",207547,87,0.671,0.782,-4.593,0.0341,0.0142,0.333,123.989,178088,0.618
78,8,Iko Iko (My Bestie),"7,381,585","Justin Wellington, Small Jam",18228,87,0.862,0.753,-5.356,0.0625,0.131,0.077,105.039,182857,0.827
55,13,512,"7,336,542","Mora, Jhay Cortez",151486,87,0.818,0.673,-7.542,0.148,0.348,0.172,87.961,193636,0.695
6,84,Circles,"7,156,162",Post Malone,33651775,87,0.695,0.762,-3.497,0.0395,0.192,0.0863,120.042,215280,0.553
13,83,goosebumps,"5,691,540",Travis Scott,17719446,87,0.841,0.593,-7.846,0.0379,0.418,0.124,124.917,162803,0.808
33,24,Goosebumps,"5,496,962",HVME,17719446,87,0.841,0.593,-7.846,0.0379,0.418,0.124,124.917,162803,0.808
1,39,DÁKITI,"11,524,288","Bad Bunny, Jhay Cortez",36142273,86,0.731,0.573,-10.059,0.0544,0.401,0.113,109.928,205090,0.145
12,83,Someone You Loved,"8,490,162",Lewis Capaldi,8384096,86,0.501,0.405,-5.679,0.0319,0.751,0.105,109.891,182161,0.446
12,11,ZITTI E BUONI,"7,975,148",Måneskin,3377762,86,0.625,0.939,-3.115,0.0669,0.00138,0.424,102.999,194787,0.644
1,40,positions,"7,244,853",Ariana Grande,67158068,86,0.737,0.802,-4.771,0.0878,0.468,0.0931,144.015,172325,0.682
75,10,Ram Pam Pam,"7,064,003","Natti Natasha, Becky G",6341942,86,0.908,0.813,-2.749,0.0777,0.305,0.278,97.018,200785,0.924
97,3,Woman,"6,858,466",Doja Cat,8640063,86,0.824,0.764,-4.175,0.0854,0.0888,0.117,107.998,172627,0.881
85,5,Reckless,"6,711,375",Madison Beer,3363988,86,0.386,0.426,-6.642,0.0363,0.807,0.14,180.104,203385,0.261
88,83,Believer,"6,699,895",Imagine Dragons,35285425,86,0.776,0.78,-4.374,0.128,0.0622,0.081,124.949,204347,0.666
59,11,Sal y Perrea,"6,635,076",Sech,8758283,86,0.786,0.899,-0.515,0.127,0.192,0.299,90.025,216510,0.813
109,3,Fulanito,"6,614,072","Becky G, El Alfa",10356559,86,0.93,0.837,-4.632,0.187,0.256,0.239,111.898,158532,0.821
110,1,París,"6,584,896",Ingratax,56699,86,0.57,0.455,-5.748,0.0996,0.441,0.0654,167.933,151429,0.399
46,83,lovely (with Khalid),"6,569,547",Billie Eilish,47014200,86,0.351,0.296,-10.109,0.0333,0.934,0.095,115.284,200186,0.12
113,3,double take,"6,539,852",dhruv,73211,86,0.663,0.434,-11.177,0.0648,0.828,0.249,109.075,171743,0.225
9,29,Streets,"6,502,302",Doja Cat,8640063,86,0.749,0.463,-8.433,0.0842,0.21,0.338,90.035,226987,0.189
99,83,Perfect,"6,278,765",Ed Sheeran,83293380,86,0.599,0.448,-6.312,0.0232,0.163,0.106,95.05,263400,0.168
2,35,LA NOCHE DE ANOCHE,"6,242,863","Bad Bunny, ROSALÍA",36142273,86,0.856,0.618,-4.892,0.286,0.0303,0.0866,81.993,203201,0.391
1,67,ROCKSTAR (feat. Roddy Ricch),"6,180,056",DaBaby,7593046,86,0.746,0.69,-7.956,0.164,0.247,0.101,89.977,181733,0.497
12,53,Heather,"6,164,795",Conan Gray,3794081,86,0.357,0.425,-7.301,0.0333,0.584,0.322,102.078,198040,0.27
13,55,you broke me first,"6,152,121",Tate McRae,1647262,86,0.667,0.373,-9.389,0.05,0.785,0.0906,124.148,169266,0.0823
11,10,enough for you,"6,040,918",Olivia Rodrigo,6266514,86,0.638,0.259,-10.706,0.0898,0.753,0.219,88.485,202827,0.269
24,31,Heat Waves,"15,089,184",Glass Animals,1890510,85,0.761,0.525,-6.9,0.0944,0.44,0.0921,80.87,238805,0.531
72,2,2055,"8,133,401",Sleepy Hallow,408696,85,0.829,0.512,-5.865,0.187,0.492,0.12,80.511,123987,0.638
60,8,t r a n s p a r e n t s o u l feat. Travis Barker,"6,853,994",WILLOW,1521837,85,0.39,0.83,-5.201,0.0563,0.0021,0.156,90.021,168030,0.191
103,5,"No Me Conocen (Remix) [con DUKI, Rei & Tiago PZK]","6,709,106",BANDIDO,16074,85,0.769,0.812,-2.088,0.0825,0.281,0.0781,180.003,280274,0.926
80,8,By Your Side (feat. Tom Grennan),"6,488,622",Calvin Harris,21942793,85,0.733,0.96,-3.597,0.0295,0.0514,0.287,124.01,189672,0.811
116,3,MORENA,"6,469,500",Luan Santana,5420471,85,0.526,0.731,-4.662,0.0887,0.18,0.0891,86.959,193221,0.476
80,80,Shape of You,"6,452,492",Ed Sheeran,83293380,85,0.825,0.652,-3.183,0.0802,0.581,0.0931,95.977,233713,0.931
80,5,2:50 Remix,"6,244,011","MYA, TINI, Duki",282045,85,0.818,0.812,-4.425,0.0475,0.112,0.234,139.966,231708,0.844
126,18,The Nights,"6,136,340",Avicii,20270895,85,0.527,0.835,-5.298,0.0433,0.0166,0.249,125.983,176658,0.654
99,42,Daddy Issues,"6,014,443",The Neighbourhood,6662605,85,0.588,0.521,-9.461,0.0329,0.0678,0.123,85.012,260173,0.337
19,12,Miss The Rage (feat. Playboi Carti),"5,952,490",Trippie Redd,6430522,85,0.584,0.859,-5.616,0.121,0.0144,0.847,77.005,236883,0.369
4,83,Memories,"5,928,329",Maroon 5,32262679,85,0.775,0.327,-7.241,0.0557,0.841,0.0821,91.05,189486,0.595
135,4,Here's Your Perfect,"5,912,784",Jamie Miller,64288,85,0.558,0.454,-5.335,0.0551,0.499,0.146,113.12,158594,0.424
138,4,Ficha Limpa,"5,847,975",Gusttavo Lima,12969190,85,0.774,0.732,-4.227,0.0308,0.108,0.243,135.005,192725,0.734
5,32,Bandido,"5,734,402","Myke Towers, Juhn",6150675,85,0.713,0.617,-4.637,0.0887,0.122,0.0962,168.021,232853,0.682
25,39,Paradise (feat. Dermot Kennedy),"5,693,848",MEDUZA,441674,85,0.632,0.595,-7.644,0.0401,0.0689,0.209,124.114,167903,0.435
90,18,Wasted Love (feat. Lagique),"5,690,260",Ofenbach,432581,85,0.734,0.855,-4.578,0.135,0.0821,0.0901,121.955,139563,0.54
110,9,Tell Em,"5,668,576","Cochise, $NOT",159647,85,0.672,0.717,-7.476,0.226,0.103,0.398,157.905,180380,0.473
121,32,Yellow,"5,628,703",Coldplay,31151294,85,0.429,0.661,-7.227,0.0281,0.00239,0.234,173.372,266773,0.285
6,47,What You Know Bout Love,"5,570,735",Pop Smoke,6837946,85,0.709,0.548,-8.493,0.353,0.65,0.133,83.995,160000,0.543
31,83,Lucid Dreams,"5,477,563",Juice WRLD,19085118,85,0.511,0.566,-7.23,0.2,0.349,0.34,83.903,239836,0.218
4,24,Calling My Phone,"5,467,753","Lil Tjay, 6LACK",3553442,85,0.907,0.393,-7.636,0.0539,0.451,0.135,104.949,205458,0.202
13,10,"1 step forward, 3 steps back","5,420,003",Olivia Rodrigo,6266514,85,0.473,0.203,-12.627,0.102,0.941,0.126,168.884,163587,0.419
4,76,death bed (coffee for your head),"5,238,547","Powfu, beabadoobee",924083,85,0.726,0.431,-8.765,0.135,0.731,0.696,144.026,173333,0.348
184,1,Cúrame,"5,104,206",Rauw Alejandro,6080597,85,0.765,0.625,-3.599,0.0548,0.584,0.112,102.101,164706,0.262
80,41,Martin & Gina,"5,098,609",Polo G,4840346,85,0.832,0.534,-7.813,0.253,0.345,0.165,93.924,132833,0.116
41,81,7 rings,"5,002,227",Ariana Grande,67158068,85,0.778,0.317,-10.732,0.334,0.592,0.0881,140.048,178627,0.327
13,15,AM,"5,288,927","Nio Garcia, Flow La Movie",2123734,85,0.83,0.517,-6.416,0.333,0.399,0.0916,171.959,182496,0.616
19,3,NDA,"9,635,619",Billie Eilish,47014200,84,0.765,0.373,-9.921,0.0713,0.341,0.112,85.016,195777,0.554
83,2,Bezos I,"7,516,291",Bo Burnham,1042079,84,0.694,0.948,-5.307,0.0361,0.00936,0.139,115.044,58149,0.705
23,25,Arcade,"7,353,795",Duncan Laurence,287361,84,0.45,0.329,-12.603,0.0441,0.818,0.135,71.884,183624,0.266
131,3,Aquelas Coisas,"6,012,839",João Gomes,409173,84,0.682,0.873,-4.163,0.0449,0.402,0.0946,150.006,147072,0.964
103,5,"Não, Não Vou","5,652,272",Mari Fernandez,15889,84,0.631,0.861,-1.891,0.0424,0.427,0.215,149.95,173038,0.822
142,23,Wake Me Up,"5,607,285",Avicii,20270895,84,0.532,0.783,-5.697,0.0523,0.0038,0.161,124.08,247427,0.643
121,5,Red Light Green Light,"5,493,760",DaBaby,7593046,84,0.933,0.656,-5.85,0.322,0.129,0.161,119.987,159083,0.934
120,5,Ball If I Want To,"5,478,055",DaBaby,7593046,84,0.902,0.669,-5.049,0.457,0.161,0.0728,139.949,112547,0.628
7,56,For The Night (feat. Lil Baby & DaBaby),"5,431,375",Pop Smoke,6837946,84,0.823,0.586,-6.606,0.2,0.114,0.193,125.971,190476,0.347
1,51,WAP (feat. Megan Thee Stallion),"5,386,268",Cardi B,17353707,84,0.935,0.454,-7.509,0.375,0.0194,0.0824,133.073,187541,0.357
20,44,Dreams - 2004 Remaster,"5,378,971",Fleetwood Mac,6930669,84,0.828,0.492,-9.744,0.0276,0.0644,0.128,120.151,257800,0.789
94,82,Say You Won't Let Go,"5,375,426",James Arthur,8441598,84,0.358,0.557,-7.398,0.059,0.695,0.0902,85.043,211467,0.494
149,14,One Dance,"5,178,490","Drake, WizKid, Kyla",56308172,84,0.792,0.625,-5.609,0.0536,0.00776,0.329,103.967,173987,0.37
15,83,Adore You,"5,166,847",Harry Styles,16112621,84,0.676,0.771,-3.675,0.0483,0.0237,0.102,99.048,207133,0.569
110,78,All of Me,"5,103,014",John Legend,5799137,84,0.422,0.264,-7.064,0.0322,0.922,0.132,119.93,269560,0.331
52,22,The Hills,"5,068,864",The Weeknd,35305637,84,0.585,0.564,-7.063,0.0515,0.0671,0.135,113.003,242253,0.137
5,31,Good Days,"5,065,132",SZA,5881963,84,0.436,0.655,-8.37,0.0583,0.499,0.688,121.002,279204,0.412
194,1,Chosen (feat. Ty Dolla $ign),"4,992,405","Blxst, Tyga",167628,84,0.571,0.767,-5.16,0.287,0.336,0.0809,93.421,161684,0.605
149,5,Não Nasceu pra Namorar,"4,978,559","MC Zaquin, MC Rick",130627,84,0.525,0.448,-4.075,0.0443,0.14,0.0922,83.406,140308,0.527
8,71,Breaking Me,"4,977,498","Topic, A7S",151832,84,0.789,0.72,-5.652,0.218,0.223,0.129,122.031,166794,0.664
58,8,Late At Night,"4,954,899",Roddy Ricch,6603627,84,0.643,0.403,-11.254,0.41,0.343,0.138,98.54,174682,0.111
172,12,The Real Slim Shady,"4,948,965",Eminem,46785561,84,0.949,0.661,-4.244,0.0572,0.0302,0.0454,104.504,284200,0.76
22,4,WUSYANAME (feat. Youngboy Never Broke Again & Ty Dolla $ign),"5,696,113","Tyler, The Creator",6777818,84,0.493,0.653,-5.666,0.0466,0.269,0.511,142.347,121573,0.852
105,4,Sommergewitter,"5,627,519",Pashanim,208554,84,0.787,0.531,-10.569,0.101,0.132,0.112,91.996,138533,0.721
17,12,"Body (Remix) [feat. ArrDee, E1 (3x3), ZT (3x3), Bugzy Malone, Buni, Fivio Foreign & Darkoo]","5,383,125","Tion Wayne, Russ Millions",323203,84,0.883,0.674,-8.043,0.357,0.21,0.0678,141.02,278085,0.73
20,82,Ride It,"5,235,088",Regard,152226,84,0.88,0.751,-4.258,0.0874,0.177,0.106,117.948,157606,0.884
79,11,Bipolar,"5,116,589","Mc Davi, Mc Pedrinho, Mc Don Juan",2586114,84,0.601,0.36,-7.791,0.0877,0.586,0.0882,124.993,276480,0.335
122,5,"His & Hers (feat. Don Toliver, Lil Uzi Vert & Gunna)","5,110,475",Internet Money,411579,84,0.792,0.707,-5.218,0.0623,0.116,0.12,134.997,224042,0.408
75,19,Follow You,"5,097,187",Imagine Dragons,35285425,84,0.542,0.732,-5.956,0.0521,0.00209,0.496,124.912,175644,0.489
4,29,Life Goes On,"6,142,975",BTS,37106176,84,0.566,0.716,-5.733,0.0424,0.00691,0.37,81.068,207481,0.45
17,24,Baila Conmigo (with Rauw Alejandro),"5,588,217",Selena Gomez,28909504,84,0.823,0.544,-7.132,0.0715,0.0215,0.0966,149.903,186088,0.664
22,8,hope ur ok,"5,435,614",Olivia Rodrigo,6266514,84,0.443,0.298,-12.181,0.0644,0.388,0.103,77.253,209560,0.172
95,13,Aloha,"5,036,030","Maluma, Beéle, Rauw Alejandro, Mambo Kingz, DJ Luian, Darell",26769304,84,0.807,0.712,-5.757,0.1,0.532,0.163,100.004,241659,0.792
141,32,Closer,"4,954,679","The Chainsmokers, Halsey",18191658,84,0.748,0.524,-5.599,0.0338,0.414,0.111,95.01,244960,0.661
117,27,Do I Wanna Know?,"4,938,586",Arctic Monkeys,12369079,84,0.548,0.532,-7.596,0.0323,0.186,0.217,85.03,272394,0.405
96,77,Jocelyn Flores,"5,220,422",XXXTENTACION,29539807,84,0.872,0.391,-9.144,0.242,0.469,0.297,134.021,119133,0.437
1,78,The Box,"5,145,099",Roddy Ricch,6603627,84,0.896,0.586,-6.687,0.0559,0.104,0.79,116.971,196653,0.642
17,78,HIGHEST IN THE ROOM,"4,975,720",Travis Scott,17719446,84,0.598,0.427,-8.764,0.0317,0.0546,0.21,76.469,175721,0.0605
119,6,No Role Modelz,"4,904,401",J. Cole,14097410,84,0.692,0.521,-8.465,0.33,0.301,0.0565,100.45,292987,0.463
7,74,SICKO MODE,"4,898,977",Travis Scott,17719446,84,0.834,0.73,-3.714,0.222,0.00513,0.124,155.008,312820,0.446
61,17,Body,"5,831,357","Russ Millions, Tion Wayne",323203,84,0.883,0.674,-8.043,0.357,0.21,0.0678,141.02,278085,0.73
101,68,SAD!,"5,051,338",XXXTENTACION,29566516,84,0.74,0.613,-4.88,0.145,0.258,0.123,75.023,166606,0.473
2,48,Stuck with U (with Justin Bieber),"5,094,660",Ariana Grande,67208170,84,0.597,0.45,-6.658,0.0418,0.223,0.382,178.765,228482,0.537
188,3,Take on Me,"4,969,662",a-ha,1560784,84,0.573,0.902,-7.638,0.054,0.018,0.0928,84.412,225280,0.876
157,9,Hope,"5,085,527",XXXTENTACION,29566516,84,0.592,0.457,-6.081,0.0603,0.661,0.146,146.04,110886,0.225
149,46,The Less I Know The Better,"5,084,635",Tame Impala,5064200,84,0.64,0.74,-4.083,0.0284,0.0115,0.167,116.879,216320,0.785
57,5,Meu Pedaço de Pecado,"9,206,366",João Gomes,409173,83,0.668,0.887,-4.404,0.0564,0.369,0.257,151.92,157176,0.907
71,1,Over The Top (feat. Drake),"8,269,753",Smiley,26131,83,0.833,0.498,-5.196,0.117,0.0493,0.119,139.928,153406,0.259
1,83,Dance Monkey,"7,687,058",Tones And I,2819593,83,0.824,0.588,-6.4,0.0924,0.692,0.149,98.027,209438,0.513
22,83,Before You Go,"6,813,800",Lewis Capaldi,8384096,83,0.459,0.575,-4.858,0.0573,0.604,0.0885,111.881,215107,0.183
45,19,Talking to the Moon,"6,660,319",Bruno Mars,32574754,83,0.523,0.606,-4.754,0.0301,0.512,0.106,145.837,217867,0.065
14,25,Up,"5,845,156",Cardi B,17353707,83,0.868,0.795,-6.044,0.269,0.0012,0.0461,166,156945,0.819
100,2,KESI - Remix,"5,682,062","Camilo, Shawn Mendes",10561047,83,0.871,0.815,-4.439,0.0477,0.127,0.094,122.959,176575,0.823
59,83,Shallow,"5,672,480","Lady Gaga, Bradley Cooper",18572085,83,0.572,0.385,-6.362,0.0308,0.371,0.231,95.799,215733,0.323
153,1,Como Si No Importara,"5,627,257","Emilia, Duki",205590,83,0.843,0.534,-6.658,0.142,0.467,0.0984,94.984,173053,0.528
128,7,Baby Me Atende,"5,594,505","Matheus Fernandes, Dilsinho",77034,83,0.65,0.792,-3.825,0.0393,0.607,0.92,154.027,225672,0.872
